ts0,ts1,bcr1,bcr2,bcr3
1647400000.0,16134,0.016,1.512,0.0
1647400000.0,16181,0.016,1.448,0.0
1647400000.0,16228,0.016,1.31,0.0
1647400000.0,16275,0.016,1.476,0.0
1647400000.0,16322,0.016,1.503,0.0
1647400000.0,16402,0.016,1.279,0.0
1647400000.0,16449,0.016,1.265,0.0
1647400000.0,16496,0.016,1.476,0.0
1647400000.0,16543,0.017,1.361,0.0
1647400000.0,16590,0.016,1.493,0.0
1647400000.0,16637,0.017,1.536,0.0
1647400000.0,16684,0.017,1.353,0.0
1647400000.0,16767,0.016,1.521,0.0
1647400000.0,16814,0.016,1.518,0.0
1647400000.0,16861,0.015,1.295,0.0
1647400000.0,16908,0.015,1.495,0.0
1647400000.0,16955,0.015,1.314,0.0
1647400000.0,17002,0.016,1.49,0.0
1647400000.0,17049,0.016,1.249,0.0
1647400000.0,17096,0.016,1.021,0.0
1647400000.0,17143,0.016,1.265,0.0
1647400000.0,17190,0.016,1.516,0.0
1647400000.0,17237,0.016,1.461,0.0
1647400000.0,17284,0.016,1.44,0.0
1647400000.0,17331,0.016,1.438,0.0
1647400000.0,17378,0.016,1.356,0.0
1647400000.0,17445,0.016,1.53,0.0
1647400000.0,17492,0.016,1.258,0.0
1647400000.0,17539,0.016,1.507,0.0
1647400000.0,17586,0.016,1.253,0.0
1647400000.0,17633,0.016,1.488,0.0
1647400000.0,17680,0.016,1.499,0.0
1647400000.0,17727,0.016,1.404,0.0
1647400000.0,17789,0.016,0.816,0.0
1647400000.0,17835,0.016,1.017,0.0
1647400000.0,17885,0.016,0.949,0.0
1647400000.0,17932,0.016,1.45,0.0
1647400000.0,17979,0.016,1.513,0.0
1647400000.0,18066,0.016,1.527,0.0
1647400000.0,18124,0.016,1.545,0.0
1647400000.0,18172,0.016,1.374,0.0
1647400000.0,18218,0.016,1.517,0.0
1647400000.0,18265,0.016,1.513,0.0
1647400000.0,18312,0.016,1.351,0.0
1647400000.0,18359,0.016,1.501,0.0
1647400000.0,18407,0.016,1.024,0.0
1647400000.0,18459,0.016,1.273,0.0
1647400000.0,18506,0.016,1.511,0.0
1647400000.0,18553,0.016,1.324,0.0
1647400000.0,18600,0.016,1.502,0.0
1647400000.0,18647,0.016,1.506,0.0
